,Gender,customer_type,type_of_travel,customer_class,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,age,flight_distance,all_delay_in_minutes
101914,1,0,1,1,3,1,5,3,3,5,3,3,4,4,4,2,3,3,17,416,0.0
116023,1,0,0,0,1,1,1,1,3,4,5,4,4,4,4,4,4,4,45,480,-17.0
70307,1,0,1,1,1,5,1,3,5,1,4,5,4,2,2,3,5,5,57,551,0.0
66207,1,0,0,0,1,1,1,1,5,5,5,5,4,4,4,3,5,5,24,980,0.0
20720,1,0,0,1,4,3,3,3,3,4,3,3,1,3,3,3,4,3,45,257,4.0
48422,0,0,1,1,4,5,0,4,4,5,5,4,4,0,4,4,4,4,52,77,-3.0
31871,1,1,0,0,3,4,3,3,4,3,4,4,4,1,4,2,4,4,23,277,0.0
125378,0,0,0,0,2,2,2,2,4,4,3,2,2,2,2,3,2,2,52,2136,7.0
64895,1,1,0,1,4,4,4,2,4,4,4,4,3,5,5,5,5,4,23,1019,4.0
96576,0,1,0,1,1,0,1,4,3,1,3,3,3,4,5,5,5,3,24,500,-2.0
127434,0,1,0,1,3,4,4,4,1,4,1,1,2,4,4,2,3,1,27,250,-2.0
103889,0,0,0,0,2,2,4,2,4,4,4,5,5,5,5,3,5,5,37,2567,12.0
94953,1,0,0,0,3,1,3,3,3,3,4,4,4,4,4,2,4,5,37,964,26.0
14551,0,0,0,2,3,1,1,1,3,3,3,3,3,3,3,1,3,4,62,369,-5.0
103221,1,0,0,0,3,3,3,3,3,4,4,3,3,3,3,3,3,3,43,2677,0.0
76600,0,1,0,1,0,1,1,3,5,1,5,5,1,4,3,3,2,5,23,772,0.0
35112,1,1,0,1,3,2,3,4,3,3,3,3,1,3,3,2,4,3,22,333,0.0
69470,0,0,1,1,2,5,2,1,2,2,2,2,4,2,4,3,4,2,28,1747,0.0
44263,0,0,1,1,3,1,3,3,2,3,2,4,4,3,4,2,4,1,64,925,3.0
61446,1,0,1,1,5,5,5,1,1,5,1,1,3,4,4,5,5,1,45,864,0.0
107565,0,0,0,1,5,3,3,3,5,4,5,5,5,5,5,2,5,5,64,163,0.0
4741,1,0,0,0,3,2,2,2,5,2,3,3,3,3,3,4,3,2,44,2342,11.0
45663,0,0,0,0,3,3,3,3,2,2,2,2,3,3,5,5,4,2,32,986,0.0
12939,0,0,0,0,2,5,5,5,3,4,3,5,5,4,2,3,5,4,66,216,0.0
126917,0,0,0,0,3,2,2,2,2,4,4,3,3,3,3,3,3,3,43,3998,-13.0
126874,1,0,0,0,2,2,3,2,5,5,5,5,3,5,3,5,4,5,26,2434,0.0
51698,0,0,1,1,3,5,4,3,4,4,4,4,4,2,4,4,4,4,34,641,5.0
20325,1,0,0,0,2,2,2,2,4,4,4,4,2,3,5,4,5,4,42,2614,14.0
123576,1,0,0,0,1,1,1,1,4,5,4,4,4,4,4,3,4,3,35,190,0.0
125293,1,0,0,2,3,5,5,5,3,4,3,3,5,2,4,1,5,3,26,983,0.0
114083,0,1,0,0,1,1,1,4,3,1,2,3,3,3,4,1,3,3,25,645,2.0
9465,1,0,1,1,3,5,3,3,3,3,3,3,2,2,3,1,1,3,58,179,0.0
39410,0,0,0,0,5,5,5,5,5,5,5,5,2,5,4,4,5,5,24,726,0.0
116125,0,0,1,2,3,4,3,1,5,4,5,3,3,3,3,5,3,4,50,386,0.0
92193,0,0,0,0,1,1,1,1,2,3,4,4,4,5,4,3,4,3,55,1846,-13.0
87588,0,0,0,0,2,1,1,1,1,4,4,2,2,2,2,4,2,2,44,1900,0.0
19050,1,0,0,0,2,1,1,1,3,3,3,2,2,2,2,3,2,2,35,1687,0.0
29731,0,1,0,0,5,5,4,4,2,4,2,2,4,4,4,5,5,2,22,1096,0.0
97816,0,0,1,1,2,5,4,2,5,4,5,4,4,4,4,4,4,4,42,510,-7.0
94660,1,1,0,1,4,4,4,1,4,4,3,4,4,5,2,4,3,4,22,163,0.0
117613,0,1,0,0,2,2,2,4,4,2,4,4,4,4,4,5,4,4,32,338,0.0
30912,0,1,0,1,2,1,1,4,5,1,5,5,1,2,4,4,4,5,26,1276,-5.0
126688,0,0,0,1,1,2,2,2,4,2,2,1,1,1,1,1,1,4,48,192,0.0
33867,1,0,0,0,3,1,1,1,1,2,1,3,3,3,3,2,3,4,40,3082,0.0
124981,1,1,0,0,3,3,3,1,3,3,3,3,4,4,4,4,4,3,38,109,0.0
121651,1,0,0,0,1,3,3,3,5,3,3,3,3,4,1,2,3,1,47,216,0.0
8437,0,0,0,0,2,5,5,5,3,4,3,3,3,3,2,3,3,2,63,184,0.0
63768,1,0,0,2,4,5,4,5,4,4,3,4,2,3,4,4,3,4,15,550,0.0
54525,0,1,0,1,1,0,1,3,5,1,5,5,5,4,5,4,5,5,62,588,0.0
108584,1,0,1,1,1,1,1,3,5,1,5,5,4,1,3,4,4,5,45,628,0.0
100144,0,0,0,1,5,1,1,1,5,4,2,5,5,5,5,3,5,4,75,102,0.0
92766,1,0,1,1,2,2,2,4,2,2,1,2,4,4,3,2,4,2,68,762,0.0
65643,0,0,0,0,2,5,5,5,2,3,4,2,2,2,2,4,2,3,69,376,-4.0
129474,0,0,1,1,3,4,0,3,3,5,4,4,4,0,4,3,4,5,65,247,0.0
29068,1,0,0,0,5,5,5,5,5,5,4,4,4,4,4,4,4,4,52,3477,0.0
112536,1,1,0,1,2,2,2,4,2,2,4,2,2,1,3,5,1,2,79,797,0.0
103315,0,0,1,1,1,4,1,4,1,4,4,2,2,1,2,3,2,1,53,1065,0.0
74769,1,1,0,1,4,0,4,1,4,4,4,4,1,3,4,1,5,4,23,89,-9.0
75593,0,0,1,1,3,4,3,4,3,3,3,3,4,5,4,4,5,3,36,423,0.0
69936,1,0,0,1,5,4,4,4,5,5,5,5,5,3,1,3,4,5,36,248,-1.0
39849,1,0,1,1,2,5,2,5,2,1,1,4,3,4,4,1,5,1,36,862,2.0
12643,1,1,0,1,4,5,4,3,4,4,4,4,4,3,4,3,5,4,17,370,0.0
38556,0,0,1,2,4,5,5,1,5,5,5,5,4,2,1,1,4,5,33,296,0.0
15160,1,1,0,1,2,0,1,2,3,1,3,3,3,2,5,1,3,3,40,453,0.0
71929,0,0,1,1,2,4,2,2,2,2,2,2,4,5,4,3,4,2,22,735,4.0
102450,0,0,1,1,3,4,3,4,2,4,4,3,3,3,3,2,3,2,70,600,4.0
34865,1,0,0,0,5,5,5,5,5,5,5,4,4,4,4,3,4,3,47,430,10.0
115961,1,1,0,0,4,3,3,1,2,3,2,2,4,5,4,5,4,2,38,353,0.0
80505,1,1,0,2,1,1,1,2,3,1,3,3,2,2,1,2,3,3,44,752,0.0
67543,0,0,0,1,4,2,5,2,5,5,5,5,3,2,1,3,4,5,33,187,-4.0
57158,1,0,0,1,5,4,4,4,5,5,5,5,2,4,1,1,3,5,49,469,0.0
58476,0,0,1,1,3,5,3,1,3,3,3,3,3,2,5,3,4,3,24,1069,4.0
38067,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,42,2516,19.0
109816,0,0,0,1,5,4,4,4,5,5,5,5,5,4,1,1,1,5,36,228,-16.0
79143,1,0,0,0,5,5,5,5,4,4,4,4,1,3,2,5,3,4,29,2816,0.0
47973,1,0,0,0,3,3,1,3,4,2,1,4,4,4,4,5,4,5,56,1634,0.0
77934,1,0,1,1,1,5,1,5,2,1,2,2,3,5,4,4,4,2,23,987,-2.0
50779,1,0,0,0,2,2,2,2,3,4,5,4,4,4,4,3,4,3,57,3699,0.0
104956,1,0,0,0,3,5,5,5,3,3,4,4,4,4,3,2,4,1,52,2467,-7.0
64916,0,0,1,1,4,4,4,1,5,5,4,2,2,4,3,3,2,5,49,964,0.0
95543,1,0,0,0,4,5,5,5,2,4,3,4,4,4,4,4,4,1,48,1929,-1.0
13197,0,0,0,0,5,5,5,5,5,4,4,4,4,4,4,3,4,4,33,3214,-1.0
126982,1,0,0,1,3,1,1,1,3,3,3,3,1,1,2,4,2,3,53,1674,-7.0
43152,0,0,0,0,2,2,2,2,2,3,1,4,4,4,4,2,4,4,38,954,-3.0
57856,1,0,1,1,4,4,4,3,4,4,4,4,3,2,1,5,5,4,26,432,0.0
97384,1,0,1,1,3,4,3,1,2,3,2,2,5,4,5,5,4,2,54,216,0.0
48744,1,0,0,2,5,5,5,5,5,5,3,5,5,4,2,3,4,5,23,414,0.0
98003,1,0,0,0,1,1,1,1,5,5,5,5,3,3,3,3,5,5,25,2446,-1.0
82805,1,0,0,0,2,2,2,2,3,4,5,5,5,5,5,4,5,4,55,507,0.0
20655,1,0,0,1,4,5,2,5,4,4,4,4,5,3,3,3,5,4,39,612,3.0
38364,1,0,1,1,0,3,0,1,1,0,1,1,1,2,2,1,3,1,7,529,4.0
49601,0,0,0,1,4,2,2,2,4,4,4,4,2,3,1,3,5,4,35,1214,0.0
91446,0,1,0,0,1,1,1,4,2,1,3,2,5,2,5,5,4,2,38,390,0.0
59906,0,1,0,1,1,1,1,3,2,1,2,2,3,2,1,2,1,2,30,737,6.0
37858,0,0,1,1,3,2,2,3,2,4,4,1,3,3,4,4,1,4,51,2338,16.0
13504,0,0,1,1,2,5,2,1,4,2,4,4,4,2,5,5,4,4,21,1744,-2.0
81404,0,0,1,1,4,2,4,3,4,4,4,4,3,3,4,3,3,4,39,197,0.0
52332,0,0,0,0,1,4,4,4,1,1,1,1,1,2,4,4,4,1,31,3851,-3.0
57905,1,0,0,0,1,1,1,1,4,4,4,4,3,5,4,5,1,4,30,3800,7.0
29235,1,0,0,0,3,2,2,2,5,2,3,3,3,2,3,1,3,4,44,1609,-3.0
27721,1,0,0,0,4,4,2,4,3,5,5,3,3,4,4,3,3,5,59,214,-9.0
113848,1,0,0,0,1,1,4,1,5,4,4,4,4,4,4,5,4,3,45,989,0.0
117112,0,0,0,0,4,4,4,4,2,4,5,5,5,5,5,3,5,4,40,2795,0.0
9330,0,0,0,0,4,4,4,4,5,5,5,5,4,4,4,3,5,5,30,2021,0.0
102145,1,0,0,1,5,3,5,3,5,5,5,5,3,2,4,3,4,5,59,101,0.0
37330,1,0,0,0,4,4,4,4,3,4,4,4,4,4,4,5,4,3,40,3170,-17.0
83015,0,1,0,1,3,0,3,2,3,3,3,3,2,3,1,4,3,3,39,242,0.0
62548,1,0,1,1,0,5,0,1,5,0,5,5,5,2,4,5,5,5,22,337,0.0
121682,0,0,0,0,3,3,3,3,4,4,5,5,5,5,5,5,5,3,47,228,-12.0
48821,1,0,1,1,3,5,3,5,3,3,3,3,3,3,2,4,2,3,25,763,2.0
89278,0,1,0,0,5,4,5,3,4,5,4,4,5,3,4,3,4,4,22,240,5.0
17209,0,0,1,1,3,2,3,4,2,3,4,3,3,3,5,4,3,4,44,414,-2.0
24923,0,0,1,1,3,3,3,2,5,1,4,1,1,3,1,5,1,5,43,429,-10.0
52970,1,0,0,0,3,3,3,3,3,4,4,5,5,5,5,4,5,5,63,2110,0.0
75044,0,0,1,2,1,5,1,1,1,1,1,1,2,5,3,2,3,1,37,594,0.0
52762,1,0,0,1,2,4,4,4,2,2,2,2,1,4,4,3,4,2,61,1535,-5.0
111202,1,0,0,0,3,3,3,3,2,5,5,5,5,5,5,5,5,4,59,2415,0.0
38385,1,0,0,0,2,2,2,2,5,5,5,5,5,4,5,4,5,5,19,650,-2.0
18330,1,0,0,0,1,3,3,3,1,4,3,1,1,1,1,3,1,3,46,1563,0.0
90110,0,0,0,0,4,4,4,4,5,4,4,5,5,5,5,4,5,4,49,1404,-2.0
52533,0,0,0,0,3,1,1,1,2,4,4,3,3,3,3,1,3,3,40,1390,-2.0
87956,0,0,0,1,2,5,5,5,1,3,4,2,2,2,2,4,2,2,60,651,0.0
100003,1,0,0,0,3,3,3,3,4,5,5,5,5,5,5,4,5,5,36,1121,30.0
45244,1,0,1,1,3,4,0,3,4,0,4,4,3,3,4,4,5,4,67,251,0.0
114268,0,0,1,1,4,5,4,1,4,4,4,3,3,4,4,4,4,4,15,3801,0.0
43084,0,0,0,0,0,5,0,1,2,5,4,1,1,1,1,5,1,3,59,3861,0.0
83247,1,0,0,1,3,3,3,3,3,3,3,3,4,2,4,3,3,3,22,1235,0.0
76402,1,0,0,0,3,1,1,1,5,3,3,3,3,3,3,3,3,2,47,3444,0.0
127885,0,1,0,0,1,2,2,4,5,2,5,5,4,2,1,3,3,5,39,205,0.0
51934,1,0,0,0,2,2,2,2,2,2,3,2,2,2,2,1,2,4,48,2264,3.0
120715,1,0,0,0,4,4,3,4,5,4,4,5,5,5,5,3,5,4,48,3934,7.0
16672,0,0,1,1,2,4,2,3,4,4,5,5,5,2,5,5,5,4,43,785,53.0
30850,1,1,0,0,5,5,5,2,4,5,4,4,4,4,4,5,5,4,40,236,5.0
78330,0,0,1,1,4,5,4,3,4,4,1,4,1,4,3,2,4,4,27,1091,-7.0
66418,0,0,1,1,2,4,2,3,3,2,1,3,5,2,4,3,4,3,21,306,-8.0
31449,1,1,0,0,4,4,4,1,1,4,1,1,5,5,4,3,5,1,27,543,0.0
69540,1,0,0,0,3,3,3,3,1,5,2,3,3,3,3,1,3,4,58,1546,0.0
40529,0,0,0,0,3,3,3,3,5,3,5,4,4,4,4,3,4,3,51,2444,0.0
18239,0,0,0,0,5,5,5,5,4,4,5,5,5,5,4,5,5,3,51,134,0.0
61449,1,0,1,0,3,1,3,4,1,4,4,3,3,3,3,4,3,2,59,507,23.0
86109,0,0,0,0,2,2,2,2,2,5,5,4,4,4,4,4,4,4,37,1993,0.0
58509,1,0,1,1,4,2,4,2,1,4,1,1,2,5,1,3,2,1,17,328,-12.0
115309,1,0,0,0,2,2,2,2,3,2,1,5,5,5,5,4,5,4,38,2125,3.0
78942,0,0,1,2,1,2,1,3,5,4,4,2,2,1,2,1,2,3,41,253,0.0
64953,0,0,1,1,2,4,4,3,4,1,1,3,2,4,5,1,3,1,45,405,-11.0
115332,1,0,0,2,3,4,4,4,3,3,3,3,2,3,2,2,3,3,37,108,0.0
83231,1,0,1,1,4,5,4,2,1,4,1,1,4,3,5,3,5,1,24,1346,-3.0
128532,1,0,1,1,3,4,3,1,5,3,5,5,2,4,1,3,4,5,32,2556,0.0
116495,0,0,0,1,3,3,3,3,4,3,4,3,3,3,3,3,3,3,54,925,0.0
53234,1,0,0,0,2,2,2,2,4,4,4,4,5,5,5,5,5,4,13,1616,0.0
97701,1,0,0,0,3,3,3,3,4,4,4,3,3,3,3,1,3,5,50,2916,0.0
40771,0,0,1,1,1,5,1,5,2,1,2,2,5,5,4,3,5,2,13,101,13.0
58326,1,0,0,1,1,3,3,3,1,1,1,1,2,1,3,3,4,1,43,231,0.0
77676,0,1,0,1,2,2,2,3,4,2,4,4,1,1,3,4,3,4,26,587,0.0
83046,1,1,0,1,4,4,4,2,5,4,5,5,1,3,3,3,3,5,27,1235,-7.0
48416,1,0,1,2,2,2,2,3,4,2,4,4,3,4,4,2,3,4,69,2176,31.0
76914,1,0,1,2,1,5,1,4,5,1,5,5,5,5,5,3,5,5,63,1056,-7.0
74734,0,0,0,0,4,3,3,3,4,4,4,4,2,3,4,1,3,4,23,879,0.0
23295,0,0,1,1,4,4,3,3,3,3,2,2,2,3,2,2,2,3,67,2300,-12.0
60744,0,0,0,0,3,2,2,2,5,2,2,3,3,3,3,1,3,3,54,3894,0.0
68647,1,0,1,1,4,3,5,2,2,5,2,2,1,4,3,2,3,2,55,321,0.0
49836,1,0,0,0,3,3,5,3,1,2,1,5,5,5,5,5,5,1,56,1858,0.0
87860,1,0,0,0,2,2,2,2,3,5,5,4,4,4,4,5,4,4,46,4000,-6.0
20233,1,0,0,0,1,1,2,1,4,4,5,5,5,5,5,5,5,5,49,2000,-8.0
60074,0,0,0,0,5,5,5,5,3,4,4,5,5,5,5,5,5,4,39,1609,0.0
115204,1,0,0,0,5,4,5,5,4,4,5,5,5,5,5,3,5,3,39,2336,-12.0
77925,1,1,0,0,4,5,4,3,4,4,4,4,4,2,5,4,4,4,20,1099,0.0
112528,1,0,0,0,3,3,3,3,3,5,5,5,5,5,5,4,5,4,43,888,0.0
84950,1,0,1,1,3,3,2,3,3,2,3,3,4,2,3,3,2,3,47,1165,-4.0
115707,1,0,0,0,2,2,2,2,5,5,5,5,3,5,5,5,4,5,28,2033,5.0
112842,0,0,0,0,1,4,4,4,1,1,1,1,4,1,2,3,2,1,32,2085,-3.0
102964,1,1,0,1,3,3,3,2,5,3,5,5,4,5,5,4,5,5,23,725,-14.0
38886,1,0,1,1,2,4,2,3,3,2,3,3,5,4,5,5,4,3,27,404,0.0
29568,1,0,1,1,1,4,1,1,2,1,2,2,1,4,3,1,4,2,9,164,0.0
41374,1,0,0,0,1,1,1,1,4,4,5,5,5,5,5,5,5,3,58,2316,0.0
29013,0,0,0,1,5,2,2,2,5,5,5,5,1,4,5,1,5,5,29,867,0.0
92612,0,0,0,0,4,4,4,4,2,5,4,2,2,2,2,5,2,3,57,3755,21.0
69992,0,0,1,1,5,4,5,5,3,5,3,3,3,2,5,3,5,3,8,748,-5.0
116367,1,0,0,0,5,5,5,5,4,5,5,2,2,2,2,3,2,3,55,1782,-6.0
46910,0,0,0,0,5,5,5,5,4,5,5,5,5,5,5,4,5,3,46,846,0.0
23944,0,1,0,1,1,0,0,3,1,0,1,1,3,5,4,2,3,1,25,671,3.0
66698,1,1,0,1,0,0,0,3,3,0,3,3,4,4,1,4,3,3,23,558,0.0
125930,0,0,0,0,3,4,2,4,3,2,3,3,1,2,2,2,3,3,32,727,-13.0
82146,1,1,1,1,2,4,2,3,2,2,2,2,1,1,2,1,5,2,69,901,-24.0
47592,0,0,0,0,1,1,1,1,5,5,5,5,5,4,2,3,4,5,30,3499,-23.0
114790,0,0,0,0,5,1,1,1,4,2,2,5,5,4,5,2,5,3,48,325,4.0
16304,1,0,1,2,4,1,4,4,1,4,4,1,1,2,3,1,4,1,66,404,-7.0
37983,1,0,0,0,4,2,4,4,2,4,5,5,5,5,5,4,5,3,66,2951,0.0
113840,1,1,0,1,2,2,2,3,4,2,4,4,2,5,4,3,3,4,25,1050,-1.0
41010,0,1,0,1,4,4,4,3,3,4,3,3,3,2,3,1,4,3,23,991,6.0
72794,0,0,0,0,5,5,5,5,5,5,4,4,4,4,4,4,4,5,40,2023,0.0
53437,1,0,1,1,0,4,0,3,2,0,2,2,3,5,4,4,4,2,54,406,0.0
74570,1,0,0,0,5,5,5,5,4,4,5,4,4,4,4,1,4,5,48,1742,5.0
115265,0,1,0,1,5,5,5,3,4,5,4,4,5,2,3,4,5,4,23,2039,-10.0
29938,0,0,1,1,5,5,5,3,5,4,4,5,5,5,5,4,5,3,59,1046,-6.0
47215,0,0,0,1,1,2,2,2,1,3,4,1,1,1,1,3,1,3,43,270,0.0
82168,1,0,1,2,4,3,4,4,5,4,5,5,2,4,4,4,3,5,29,622,0.0
32796,1,0,0,2,3,1,3,1,3,3,3,3,4,2,4,3,3,3,42,1506,-2.0
109423,0,1,0,1,3,3,3,4,3,3,2,3,1,1,4,4,3,3,24,1249,0.0
47255,1,0,0,0,2,2,2,2,2,4,3,2,2,2,2,1,2,4,37,328,3.0
67423,1,1,0,0,0,1,0,3,1,0,1,1,3,3,4,3,5,1,20,1164,-25.0
47500,1,0,0,0,5,5,5,5,4,3,3,3,3,5,4,3,5,3,40,1105,-1.0
31767,1,0,1,2,3,5,3,3,4,3,4,4,3,5,4,4,4,4,40,590,11.0
101570,0,0,1,1,2,4,2,3,2,1,1,5,2,5,4,1,4,1,31,2422,7.0
3311,1,0,1,0,2,2,2,4,4,2,4,4,1,3,4,1,3,4,33,733,-19.0
90197,0,0,0,0,3,3,3,3,5,3,2,3,3,3,3,4,3,3,54,2396,0.0
17881,0,0,0,1,2,2,2,2,5,4,4,2,2,2,2,1,2,4,49,594,0.0
123518,1,0,0,0,3,3,3,3,4,4,4,4,4,4,4,5,4,4,31,1939,0.0
78793,0,1,0,2,3,3,3,3,4,3,4,4,4,4,3,3,3,4,26,1009,-7.0
112920,1,0,1,1,2,5,2,4,2,2,2,2,4,5,4,3,4,2,45,1192,35.0
12310,0,0,0,0,1,4,4,4,3,4,4,1,1,2,1,1,1,1,49,391,0.0
65693,1,1,0,0,5,0,5,4,4,5,4,4,4,1,3,1,1,4,25,1101,0.0
71001,1,0,0,0,2,2,2,2,3,4,3,3,3,4,5,3,4,3,33,2138,0.0
46328,1,0,0,1,1,5,4,4,1,1,1,1,2,5,1,1,1,1,48,1190,35.0
99314,1,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,4,5,44,829,-9.0
21902,1,0,1,1,2,1,2,2,2,2,2,2,2,2,3,4,2,2,39,345,-6.0
244,0,0,0,0,1,1,1,1,3,5,5,5,5,5,5,4,5,5,48,1943,0.0
30205,0,0,0,0,1,1,5,1,3,5,4,4,4,4,4,4,4,5,42,1609,0.0
3398,1,0,0,0,4,4,4,4,2,2,2,2,3,3,3,4,3,2,32,3749,0.0
62917,0,1,0,0,4,4,4,5,4,3,3,3,3,5,4,3,5,3,29,835,-2.0
91792,0,1,0,1,1,0,2,5,4,2,4,4,2,3,5,2,2,4,45,214,0.0
35806,0,1,0,0,2,2,2,3,2,2,2,2,3,2,4,3,4,2,30,188,0.0
83414,0,1,0,0,4,4,4,2,3,4,3,3,3,4,4,3,4,3,26,551,-11.0
61215,0,0,0,0,4,4,4,4,4,4,4,4,1,3,1,3,2,4,30,2753,6.0
80353,1,0,0,0,4,3,4,4,2,2,5,4,4,4,4,5,4,1,35,3835,7.0
48308,0,0,0,0,3,3,3,3,5,3,4,3,3,2,3,2,3,1,55,2375,4.0
28782,1,0,0,0,2,2,2,2,2,5,5,5,5,4,5,1,5,3,37,964,16.0
67273,1,0,1,1,1,5,1,3,2,1,2,2,4,3,4,4,5,2,69,106,4.0
4540,1,0,1,1,3,3,3,3,2,3,2,2,4,3,1,1,3,2,9,337,-7.0
44810,1,0,0,0,2,2,1,2,4,4,4,5,5,5,5,3,5,4,41,488,-7.0
44033,0,1,0,1,2,1,2,3,3,2,3,3,2,1,3,3,3,3,27,303,-17.0
116912,1,0,1,1,4,5,4,1,2,4,3,2,5,4,4,3,4,2,45,152,0.0
10807,1,0,1,1,1,5,1,4,5,1,1,5,4,4,4,4,1,5,56,483,16.0
30784,1,1,0,1,2,2,2,4,2,2,2,2,4,3,3,4,4,2,25,1012,3.0
47157,0,0,0,1,1,3,3,3,2,4,3,1,1,1,1,2,1,2,45,566,0.0
60264,0,0,1,1,3,4,3,3,5,3,2,4,4,3,4,3,4,1,70,1182,3.0
83765,1,0,0,1,2,3,3,3,2,2,2,2,3,3,4,4,3,2,61,377,25.0
14146,1,0,1,1,4,4,4,4,4,4,5,4,3,2,4,4,5,4,10,802,0.0
29793,1,0,1,1,2,2,2,4,4,2,5,4,1,3,4,3,3,4,64,317,0.0
117145,1,1,0,1,4,0,4,3,2,4,2,2,1,1,3,4,4,2,23,419,-15.0
67485,1,0,0,0,3,4,4,4,3,3,3,3,1,5,3,1,4,3,33,1849,0.0
115972,1,0,0,0,0,0,0,3,4,5,5,3,3,3,3,5,3,3,45,337,0.0
58339,1,0,0,0,5,5,5,5,4,4,4,5,2,5,5,4,5,4,28,794,-2.0
127186,0,0,0,0,4,4,2,4,2,2,2,2,2,2,2,3,2,4,40,2538,-6.0
113065,0,0,0,0,1,2,2,2,1,1,1,1,1,5,4,4,4,1,29,646,7.0
94945,0,1,0,1,2,2,2,4,5,2,5,5,3,5,4,3,4,5,28,1097,29.0
63393,1,1,0,1,2,1,1,1,3,1,3,3,5,4,5,3,4,3,25,1244,0.0
44710,0,0,1,1,1,0,1,3,4,5,5,5,5,1,5,3,5,5,46,134,0.0
52513,0,0,0,0,2,2,2,2,3,4,3,3,3,2,5,3,5,3,28,1189,0.0
25801,0,0,0,0,3,5,3,3,4,4,4,4,3,1,2,4,4,4,22,1542,0.0
2324,1,0,1,1,3,4,3,2,2,3,2,2,3,4,4,4,4,2,35,1250,23.0
42636,1,0,1,1,3,4,3,3,4,3,4,4,3,2,4,4,3,4,59,997,0.0
105389,1,1,0,1,4,0,4,4,3,4,1,3,5,3,4,4,4,3,24,319,62.0
106265,1,1,0,1,1,3,1,4,4,1,4,4,3,5,4,5,3,4,29,493,0.0
96933,0,1,0,1,2,2,2,2,2,2,3,2,2,3,5,4,2,2,30,697,0.0
42347,1,0,0,0,3,2,4,2,1,3,4,3,3,3,3,1,3,1,42,2142,0.0
87201,0,0,1,1,3,3,3,3,2,3,4,2,2,3,2,3,2,2,62,337,0.0
84190,1,0,0,0,5,5,5,5,2,4,5,5,5,5,5,4,5,5,50,2563,0.0
129232,1,0,0,1,4,5,5,5,3,4,3,3,4,1,4,5,4,3,42,579,0.0
58410,0,0,1,1,3,5,3,5,2,3,2,2,3,5,3,3,4,2,18,2358,-9.0
65091,1,1,0,1,4,0,4,4,4,4,5,4,4,4,4,4,4,4,23,639,-22.0
21531,0,1,0,1,4,4,4,4,4,4,4,4,3,3,4,3,5,4,29,737,0.0
123557,1,0,1,1,3,4,3,4,4,3,4,4,3,2,5,3,4,4,27,859,22.0
22559,0,0,0,1,5,5,5,5,5,5,5,5,5,2,3,4,4,5,22,1947,-25.0
91123,1,1,0,1,2,1,2,2,3,2,2,3,1,2,2,3,1,3,21,337,7.0
30309,0,0,0,0,4,2,2,2,3,3,3,4,4,4,4,1,4,2,72,888,0.0
60983,0,0,0,0,2,2,2,2,5,5,5,5,5,2,5,3,5,5,25,786,-30.0
40125,1,1,0,0,2,2,2,3,4,2,4,4,4,5,4,4,5,4,35,406,0.0
52015,1,0,0,0,5,5,5,5,5,4,4,4,4,4,4,5,4,3,39,1635,0.0
48490,0,0,0,0,1,1,1,1,4,4,5,4,4,4,4,4,4,3,40,3464,3.0
120374,0,0,0,2,4,5,5,5,5,4,4,4,2,2,3,4,5,4,37,817,-9.0
44730,0,0,0,0,3,2,2,2,3,3,3,3,3,1,4,2,4,3,17,369,5.0
85155,1,0,0,1,4,1,1,1,4,4,4,4,3,1,3,2,4,4,38,214,0.0
98615,1,1,0,1,1,1,1,4,5,1,5,5,2,2,3,3,4,5,27,906,19.0
97174,1,0,1,1,1,3,1,1,5,1,5,5,2,3,3,2,4,5,44,646,-7.0
52137,1,0,0,1,2,4,3,4,2,2,2,2,4,1,1,1,2,2,46,1182,8.0
41808,0,0,0,0,5,5,3,5,3,4,4,5,5,5,5,3,5,5,34,370,6.0
90968,0,1,0,1,3,4,3,4,4,3,3,4,2,3,4,1,3,4,16,359,-7.0
125168,1,0,0,0,3,3,3,3,3,5,4,5,5,5,5,3,5,4,56,2342,0.0
1548,0,0,0,0,5,5,5,5,2,5,4,5,5,5,5,4,5,5,42,2500,-10.0
79928,0,0,0,0,4,4,4,4,3,5,4,3,3,3,3,5,3,5,57,2886,8.0
99720,1,0,0,0,4,2,2,2,3,4,4,4,4,4,4,1,4,1,65,1561,6.0
21154,0,0,1,1,3,2,0,4,4,0,4,4,2,3,3,3,3,4,7,224,0.0
114382,1,0,0,1,3,1,1,1,3,3,3,3,4,5,3,3,4,3,47,446,-5.0
94423,1,0,0,2,5,3,3,3,5,5,5,5,4,3,5,3,5,5,34,101,2.0
18990,1,0,0,0,4,4,4,4,3,5,4,5,5,5,5,5,5,3,42,452,15.0
90850,1,0,0,0,2,2,4,2,4,1,3,5,5,5,5,2,5,5,35,3601,0.0
44813,0,0,0,0,1,1,2,1,2,3,4,5,5,5,5,3,5,4,50,2125,0.0
843,0,0,1,1,2,3,2,3,3,2,3,3,4,5,3,1,3,3,18,447,0.0
49135,0,1,0,1,2,0,2,3,5,2,5,5,2,3,4,4,2,5,22,669,0.0
